专业排名,综合排名,大学名称（英文）,大学名称（中文）,学科,专业
-,1,University of Pennsylvania,宾夕法尼亚大学,Business(商科),-
-,2,Massachusetts Institute of Technology,麻省理工学院,Business(商科),-
-,2,University of California—Berkeley,加州大学伯克利分校,Business(商科),-
-,4,University of Michigan—Ann Arbor,密歇根大学安娜堡分校,Business(商科),-
-,5,New York University,纽约大学,Business(商科),-
-,6,Carnegie Mellon University,卡内基梅隆大学,Business(商科),-
-,6,University of North Carolina—Chapel Hill,北卡罗来纳大学教堂山分校,Business(商科),-
-,6,University of Texas—Austin,德克萨斯大学奥斯汀分校,Business(商科),-
-,9,Cornell University,康奈尔大学,Business(商科),-
-,9,Indiana University—Bloomington,印第安纳大学伯明顿分校,Business(商科),-
-,9,University of Southern California,南加州大学,Business(商科),-
1,6, University of Texas—Austin,德克萨斯大学奥斯汀分校,Business(商科),Accounting(财务）
2,14, University of Illinois Urbana-Champaign,伊利诺伊大学厄巴纳-香槟分校,Business(商科),Accounting(财务）
3,40, Brigham Young University,杨百翰大学,Business(商科),Accounting(财务）
4,9, Indiana University—Bloomington,印第安纳大学伯明顿分校,Business(商科),Accounting(财务）
5,1, University of Pennsylvania,宾夕法尼亚大学,Business(商科),Accounting(财务）
6,4, University of Michigan—Ann Arbor,密歇根大学安娜堡分校,Business(商科),Accounting(财务）
7,12, University of Notre Dame,圣母大学,Business(商科),Accounting(财务）
8,9, University of Southern California,南加州大学,Business(商科),Accounting(财务）
9,23, University of Florida,佛罗里达大学,Business(商科),Accounting(财务）
10,5, New York University,纽约大学,Business(商科),Accounting(财务）
11,27, Boston College,波士顿学院,Business(商科),Accounting(财务）
12,14, Ohio State University,俄亥俄州立大学,Business(商科),Accounting(财务）
1,2,Massachusetts Institute of Technology,麻省理工学院,Business(商科),Analytics（商业分析）
2,6,Carnegie Mellon University,卡内基梅隆大学,Business(商科),Analytics（商业分析）
3,18,Georgia Institute of Technology,佐治亚理工学院,Business(商科),Analytics（商业分析）
4,5,New York University,纽约大学,Business(商科),Analytics（商业分析）
4,1,University of Pennsylvania,宾夕法尼亚大学,Business(商科),Analytics（商业分析）
6,6,University of Texas—Austin,德克萨斯大学奥斯汀分校,Business(商科),Analytics（商业分析）
7,4,University of Michigan—Ann Arbor,密歇根大学安娜堡分校,Business(商科),Analytics（商业分析）
8,2,University of California—Berkeley,加州大学伯克利分校,Business(商科),Analytics（商业分析）
9,27,Boston College,波士顿学院,Business(商科),Analytics（商业分析）
10,27,Arizona State University,亚利桑那州立大学,Business(商科),Analytics（商业分析）
11,9,Indiana University—Bloomington,印第安纳大学伯明顿分校,Business(商科),Analytics（商业分析）
12,27,Purdue University,普渡大学西拉法叶校区,Business(商科),Analytics（商业分析）
1,1,Babson College,巴布森学院,Business(商科),Entrepreneurship(创业学）
2,2,Massachusetts Institute of Technology,麻省理工学院,Business(商科),Entrepreneurship(创业学）
2,4,University of Michigan—Ann Arbor,密歇根大学安娜堡分校,Business(商科),Entrepreneurship(创业学）
4,2,University of California—Berkeley,加州大学伯克利分校,Business(商科),Entrepreneurship(创业学）
5,9,Indiana University—Bloomington,印第安纳大学伯明顿分校,Business(商科),Entrepreneurship(创业学）
6,6,University of Texas—Austin,德克萨斯大学奥斯汀分校,Business(商科),Entrepreneurship(创业学）
7,1,University of Pennsylvania,宾夕法尼亚大学,Business(商科),Entrepreneurship(创业学）
8,40,University of Utah,犹他大学,Business(商科),Entrepreneurship(创业学）
9,65,University of Houston,休斯顿大学,Business(商科),Entrepreneurship(创业学）
10,27,Boston College,波士顿学院,Business(商科),Entrepreneurship(创业学）
11,65,Baylor University,贝勒大学,Business(商科),Entrepreneurship(创业学）
12,77,Loyola Marymount University,洛约拉马利蒙特大学,Business(商科),Entrepreneurship(创业学）
12,114,Saint Louis University,圣路易斯大学,Business(商科),Entrepreneurship(创业学）
1,1,University of Pennsylvania,宾夕法尼亚大学,Business(商科),Finance(金融学）
2,5,New York University,纽约大学,Business(商科),Finance(金融学）
3,6,University of Texas—Austin,德克萨斯大学奥斯汀分校,Business(商科),Finance(金融学）
4,4,University of Michigan—Ann Arbor,密歇根大学安娜堡分校,Business(商科),Finance(金融学）
5,2,University of California—Berkeley,加州大学伯克利分校,Business(商科),Finance(金融学）
6,2,Massachusetts Institute of Technology,麻省理工学院,Business(商科),Finance(金融学）
7,27,Boston College,波士顿学院,Business(商科),Finance(金融学）
8,6,Carnegie Mellon University,卡内基梅隆大学,Business(商科),Finance(金融学）
9,6,University of North Carolina—Chapel Hill,北卡罗来纳大学教堂山分校,Business(商科),Finance(金融学）
10,9,Indiana University—Bloomington,印第安纳大学伯明顿分校,Business(商科),Finance(金融学）
11,12,University of Virginia,弗吉尼亚大学,Business(商科),Finance(金融学）
12,9,Cornell University,康奈尔大学,Business(商科),Finance(金融学）
1,23, University of Georgia,佐治亚大学,Business(商科),Insurance(保险）
2,18, University of Wisconsin—Madison,威斯康星大学麦迪逊分校,Business(商科),Insurance(保险）
3,53, Georgia State University,佐治亚州立大学,Business(商科),Insurance(保险）
4,53, Florida State University,佛罗里达州立大学,Business(商科),Insurance(保险）
4,114, Temple University,天普大学,Business(商科),Insurance(保险）
6,6, University of Texas—Austin,德克萨斯大学奥斯汀分校,Business(商科),Insurance(保险）
7,1, University of Pennsylvania,宾夕法尼亚大学,Business(商科),Insurance(保险）
8,27, University of Iowa,爱荷华大学,Business(商科),Insurance(保险）
9,5, New York University,纽约大学,Business(商科),Insurance(保险）
9,147, St. John's University,圣约翰大学,Business(商科),Insurance(保险）
9,14, University of Illinois—Urbana-Champaign,伊利诺伊大学厄巴纳-香槟分校,Business(商科),Insurance(保险）
1,40,University of South Carolina,南卡罗来纳大学,Business(商科),International Business(国际商务)
3,14,Georgetown University,乔治城大学,Business(商科),International Business(国际商务)
4,40,George Washington University,乔治华盛顿大学,Business(商科),International Business(国际商务)
5,5,New York University,纽约大学,Business(商科),International Business(国际商务)
6,1,University of Pennsylvania,宾夕法尼亚大学,Business(商科),International Business(国际商务)
7,2,University of California—Berkeley,加州大学伯克利分校,Business(商科),International Business(国际商务)
8,94,American University,美国大学,Business(商科),International Business(国际商务)
9,9,University of Southern California,南加州大学,Business(商科),International Business(国际商务)
10,65,Northeastern University,东北大学,Business(商科),International Business(国际商务)
11,6,University of Texas—Austin,德克萨斯大学奥斯汀分校,Business(商科),International Business(国际商务)
12,114,Temple University,天普大学,Business(商科),International Business(国际商务)
1,1,University of Pennsylvania,宾夕法尼亚大学,Business(商科),Management(管理）
2,4,University of Michigan-Ann Arbor,密歇根大学安娜堡分校,Business(商科),Management(管理）
3,2,University of California-Berkeley,加州大学伯克利分校,Business(商科),Management(管理）
4,6,University of Texas-Austin,德克萨斯大学奥斯汀分校,Business(商科),Management(管理）
5,5,New York University,纽约大学,Business(商科),Management(管理）
6,6,University of North Carolina-Chapel Hill,北卡罗来纳大学教堂山分校,Business(商科),Management(管理）
7,9,Indiana University-Bloomington,印第安纳大学伯明顿分校,Business(商科),Management(管理）
8,2,Massachusetts Institute of Technology,麻省理工学院,Business(商科),Management(管理）
9,27,Texas A&M University,德克萨斯农工大学,Business(商科),Management(管理）
9,12,University of Virginia,弗吉尼亚大学,Business(商科),Management(管理）
11,27,Boston College,波士顿学院,Business(商科),Management(管理）
12,27,Arizona State University,亚利桑那州立大学,Business(商科),Management(管理）
1,6,Carnegie Mellon University,卡内基梅隆大学,Business(商科),Management Information Systems（管理信息）
2,27,University of Arizona,亚利桑那大学,Business(商科),Management Information Systems（管理信息）
3,2,Massachusetts Institute of Technology,麻省理工学院,Business(商科),Management Information Systems（管理信息）
4,18,Georgia Institute of Technology,佐治亚理工学院,Business(商科),Management Information Systems（管理信息）
5,6,University of Texas—Austin,德克萨斯大学奥斯汀分校,Business(商科),Management Information Systems（管理信息）
6,18,University of Minnesota—Twin Cities,明尼苏达大学双城分校,Business(商科),Management Information Systems（管理信息）
7,53,Georgia State University,佐治亚州立大学,Business(商科),Management Information Systems（管理信息）
8,9,Indiana University—Bloomington,印第安纳大学伯明顿分校,Business(商科),Management Information Systems（管理信息）
9,27,Arizona State University,亚利桑那州立大学,Business(商科),Management Information Systems（管理信息）
9,23,University of Maryland,马里兰大学,Business(商科),Management Information Systems（管理信息）
11,5,New York University,纽约大学,Business(商科),Management Information Systems（管理信息）
12,23,University of Georgia,佐治亚大学,Business(商科),Management Information Systems（管理信息）
1,4, University of Michigan—Ann Arbor,密歇根大学安娜堡分校,Business(商科),Marketing(市场)
2,1, University of Pennsylvania,宾夕法尼亚大学,Business(商科),Marketing(市场)
